año_mes;provincia_zona;genero;rubro;Cantidad;remuneracion_Med;remuneracion_prom
40026;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;5109,09
40026;Jujuy;Masculino;Litio-exploración y financiación;14;1994,42;3793,59
40026;Jujuy;Masculino;Litio-Produccion;11;1586,27;1739,88
40026;Mendoza;Masculino;Litio-Produccion;5;9726,48;7164,65
40026;Salta;Femenino;Litio-exploración y financiación;4;2886,03;3054,43
40026;Salta;Femenino;Litio-Produccion;16;4779,33;5704,08
40026;Salta;Masculino;Litio-exploración y financiación;34;3420,38;3938,04
40026;Salta;Masculino;Litio-Produccion;48;6107,78;6433,18
40057;Catamarca;Femenino;Litio-Produccion;10;5171,18;5687,39
40057;Catamarca;Masculino;Litio-Produccion;145;5347,86;5836,36
40057;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;5602,71
40057;Jujuy;Masculino;Litio-exploración y financiación;14;1994,42;3802,94
40057;Jujuy;Masculino;Litio-Produccion;17;1927,75;1652,51
40057;Mendoza;Femenino;Litio-Produccion;4;4741,66;5495,83
40057;Mendoza;Masculino;Litio-Produccion;11;10000;8156,93
40057;Salta;Femenino;Litio-exploración y financiación;4;2943,76;3090,65
40057;Salta;Femenino;Litio-Produccion;15;4701,87;5691,93
40057;Salta;Masculino;Litio-exploración y financiación;34;3550,83;3974,15
40057;Salta;Masculino;Litio-Produccion;47;6357,03;6613,64
40087;Catamarca;Femenino;Litio-Produccion;9,5;5173,93;5804,05
40087;Catamarca;Masculino;Litio-Produccion;145;5300,78;5710,19
40087;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;5397,14
40087;Jujuy;Masculino;Litio-exploración y financiación;14;1994,42;3829,42
40087;Jujuy;Masculino;Litio-Produccion;17,5;1927,75;1858,95
40087;Mendoza;Femenino;Litio-Produccion;2;4741,66;5495,83
40087;Mendoza;Masculino;Litio-Produccion;7;10000;8532,33
40087;Salta;Femenino;Litio-exploración y financiación;4;3070,64;3118,69
40087;Salta;Femenino;Litio-Produccion;15;4469,37;5322,96
40087;Salta;Masculino;Litio-exploración y financiación;34;3478,26;3970,5
40087;Salta;Masculino;Litio-Produccion;47,5;6357,03;6527,67
40118;Catamarca;Femenino;Litio-Produccion;9;5691,08;5933,66
40118;Catamarca;Masculino;Litio-Produccion;145;5208,11;5584,01
40118;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;5191,58
40118;Jujuy;Masculino;Litio-exploración y financiación;14;2001,36;3855,9
40118;Jujuy;Masculino;Litio-Produccion;18;1927,75;2053,92
40118;Mendoza;Masculino;Litio-Produccion;3;10000;9908,76
40118;Salta;Femenino;Litio-exploración y financiación;4;3070,64;3146,74
40118;Salta;Femenino;Litio-Produccion;15;4013,63;4953,99
40118;Salta;Masculino;Litio-exploración y financiación;34;3449,81;3966,85
40118;Salta;Masculino;Litio-Produccion;48;5839,31;6443,49
40148;Catamarca;Femenino;Litio-Produccion;11;7510,59;7318,01
40148;Catamarca;Masculino;Litio-Produccion;146;8794,44;8287,83
40148;Jujuy;Femenino;Litio-exploración y financiación;3;7328,52;7230,89
40148;Jujuy;Masculino;Litio-exploración y financiación;14;3378,14;4899,79
40148;Jujuy;Masculino;Litio-Produccion;19;2891,62;2873,25
40148;Mendoza;Femenino;Litio-Produccion;7;6012,5;6091,18
40148;Mendoza;Masculino;Litio-Produccion;11;10000;8829,8
40148;Salta;Femenino;Litio-exploración y financiación;4;4036,91;4439,26
40148;Salta;Femenino;Litio-Produccion;15;6511,23;7135,92
40148;Salta;Masculino;Litio-exploración y financiación;35;5030,81;5680,21
40148;Salta;Masculino;Litio-Produccion;48;9606;8192,26
40179;Catamarca;Femenino;Litio-Produccion;10;5017,4;5649,86
